vertical,medio_pago,promedio
41605 SALUD PAS INDIVIDUAL,PSE,947.86
41605 SALUD PAS INDIVIDUAL,TARJ. CREDITO,157.29
41605 SALUD PAS INDIVIDUAL,PSE LINK DE PAGO,0
41605 SALUD PAS INDIVIDUAL,TARJ. CREDITO LINK PAGO,0
41605 SALUD PAS INDIVIDUAL,MODULOS AUTOSERVICIOS,325.86
41605 SALUD PAS INDIVIDUAL,REDES,113.14
41605 SALUD PAS INDIVIDUAL,SAP,65.86
41607 CREDITO BANCOR,PSE,278.43
41607 CREDITO BANCOR,TUP,0.29
41607 CREDITO BANCOR,MODULOS AUTOSERVICIOS,5
41607 CREDITO BANCOR,REDES,41.29
41607 CREDITO BANCOR,SAP,6.29
41610 RED TIENDA,PSE,75.71
41610 RED TIENDA,TARJ. CREDITO,9.86
41610 RED TIENDA,TUP,331.86
41621 RED TIENDA,PSE (PAYU),1524.14
41621 RED TIENDA,TARJ. CREDITO (PAYU),445.29
41621 RED TIENDA,REDES,21.29
41621 RED TIENDA,CUPOYA,5
