vertical,codigo,origen,tipo_reporte,medio_pago,medio_salida,es_credito,activo
41604 SALUD PAS EMPRESARIAL,41604,ECOLLECT,RED,PSE,PSE,false,true
41604 SALUD PAS EMPRESARIAL,41604,ECOLLECT,RED,TARJETA_CREDITO,TARJ. CREDITO,false,true
41604 SALUD PAS EMPRESARIAL,41604,ECOLLECT,JAVA,PSE,PSE LINK DE PAGO,false,true
41604 SALUD PAS EMPRESARIAL,41604,ECOLLECT,JAVA,SAC,SAC PRESENCIAL,false,true
41604 SALUD PAS EMPRESARIAL,41604,ECOLLECT,JAVA,REDES,REDES PRESENCIAL,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,RED,PSE,PSE,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,RED,TARJETA_CREDITO,TARJ. CREDITO,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,JAVA,PSE,PSE LINK DE PAGO,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,JAVA,TARJETA_CREDITO,TARJ. CREDITO LINK PAGO,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,JAVA,MODULOS AUTOSERVICIO,MODULOS AUTOSERVICIOS,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,JAVA,REDES,REDES,false,true
41605 SALUD PAS INDIVIDUAL,41605,ECOLLECT,JAVA,SAP,SAP,false,true
41607 CREDITO BANCOR,41607,ECOLLECT,RED,PSE,PSE,true,true
41607 CREDITO BANCOR,41607,ECOLLECT,JAVA,TUP,TUP,true,true
41607 CREDITO BANCOR,41607,ECOLLECT,JAVA,MODULOS AUTOSERVICIO,MODULOS AUTOSERVICIOS,true,true
41607 CREDITO BANCOR,41607,ECOLLECT,JAVA,REDES,REDES,true,true
41607 CREDITO BANCOR,41607,ECOLLECT,JAVA,SAP,SAP,true,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,PSE,PSE,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,TARJETA_CREDITO,TARJ. CREDITO,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,MODULOS AUTOSERVICIO,MODULOS AUTOSERVICIOS,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,REDES,REDES,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,SAP,SAP,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,CUPOYA,CUPOYA,false,true
41608 ALOJAMIENTO LAGOMAR,41608,ECOLLECT,JAVA,TUP,TUP,false,true
41609 ALOJAMIENTO LOGOSOL,41609,ECOLLECT,JAVA,PSE,PSE,false,true
41609 ALOJAMIENTO LOGOSOL,41609,ECOLLECT,JAVA,TARJETA_CREDITO,TARJ. CREDITO,false,true
41609 ALOJAMIENTO LOGOSOL,41609,ECOLLECT,JAVA,MODULOS AUTOSERVICIO,MODULOS AUTOSERVICIOS,false,true
